mosquitto-set-std 2.0.18
mosquitto-primary-std 2.0.18
mosquitto-tools-std 2.0.18
mosquitto-cxx-std 2.0.18
mosquitto-dev-std 2.0.18
mosquitto-man-std 2.0.18
perl-Algorithm-Metric-Chessboard-single-538 0.01
perl-Algorithm-Metric-Chessboard-single-540 0.01
perl-Cache-FastMmap-single-538 1.57
perl-Cache-FastMmap-single-540 1.57
perl-File-HomeDir-single-538 1.006
perl-File-HomeDir-single-540 1.006
perl-HTML-TableExtract-single-538 2.15
perl-HTML-TableExtract-single-540 2.15
perl-Pod-POM-single-538 2.01
perl-Pod-POM-single-540 2.01
pstotext-set-std 1.9
pstotext-primary-std 1.9
pstotext-man-std 1.9
python-django-filter-single-v11 24.3
python-django-filter-single-v12 24.3
python-pymdown-extensions-single-v11 10.9
python-pymdown-extensions-single-v12 10.9
python-zipp-single-v11 3.20.0
python-zipp-single-v12 3.20.0
sndio-set-std 1.10.0
sndio-primary-std 1.10.0
sndio-dev-std 1.10.0
sndio-tools-std 1.10.0
sndio-man-std 1.10.0
xorg-apps-single-std 7.7
cscope-set-std 15.9
cscope-primary-std 15.9
cscope-man-std 15.9
eawpatches-set-std 12
eawpatches-primary-std 12
eawpatches-docs-std 12
ffmpeg5-set-std 5.1.6
ffmpeg5-primary-std 5.1.6
ffmpeg5-tools-std 5.1.6
ffmpeg5-dev-std 5.1.6
ffmpeg5-examples-std 5.1.6
ffmpeg5-man-std 5.1.6
ffmpeg5-docs-std 5.1.6
glm-single-std 1.0.1
gnustep-make-set-std 2.9.2
gnustep-make-primary-std 2.9.2
gnustep-make-man-std 2.9.2
hunspell-fr-single-std 7.0
hunspell-fr-single-reforme1990 7.0
hunspell-fr-single-variantes 7.0
kf6-attica-set-std 6.5.0
kf6-attica-primary-std 6.5.0
kf6-attica-dev-std 6.5.0
libmodplug-set-std 0.8.9.0
libmodplug-primary-std 0.8.9.0
libmodplug-dev-std 0.8.9.0
libvisual-plugins-set-std 0.4.2
libvisual-plugins-primary-std 0.4.2
libvisual-plugins-nls-std 0.4.2
m4-set-std 1.4.19
m4-primary-std 1.4.19
m4-examples-std 1.4.19
m4-man-std 1.4.19
m4-info-std 1.4.19
m4-set-noprefix 1.4.19
m4-primary-noprefix 1.4.19
m4-examples-noprefix 1.4.19
m4-man-noprefix 1.4.19
m4-info-noprefix 1.4.19
m4-nls-noprefix 1.4.19
opencl-clhpp-single-std 2024.05.08
perl-Algorithm-LinearManifoldDataClusterer-single-538 1.01
perl-Algorithm-LinearManifoldDataClusterer-single-540 1.01
perl-Moo-single-538 2.005005
perl-Moo-single-540 2.005005
perl-Regexp-IPv4-single-538 0.003
perl-Regexp-IPv4-single-540 0.003
php81-posix-single-std 8.1.29
python-Cython-single-v11 3.0.11
python-Cython-single-v12 3.0.11
python-docutils-single-v11 0.21.2
python-docutils-single-v12 0.21.2
python-flex-single-v11 6.14.1
python-flex-single-v12 6.14.1
ruby-patron-single-v31 0.13.3
ruby-patron-single-v32 0.13.3
ruby-patron-single-v33 0.13.3
ruby-psych-single-v31 5.1.2
ruby-psych-single-v32 5.1.2
ruby-psych-single-v33 5.1.2
